C001;I010-1231;5;Fuck this shit I am out;23/05/2023
C006;I010-1231;5;This one is good;26/05/2023
C001;I013-2124;3;This Record is quite OK;26/05/2023
C006;I020-2031;5;This DVD is very good. Highly recommemed!!!;23/05/2023
C013;I020-2031;5;John Wick is too weak;23/05/2023
C001;I020-2012;5;This game is funny, out of this world bro;26/05/2023
C001;I023-2015;5;Very good DVD;26/05/2023
C020;I023-2015;4;cung ok do;29/05/2023
C001;I015-2012;3;Cannot watch this deep shit bro;26/05/2023
C001;I011-1954;1;Beepppppppppppppppppp;26/05/2023
C020;I022-2023;5;Ok oK;29/05/2023
C001;I018-2021;5;Kung to the kung to the fu;26/05/2023
C019;I018-2021;3;Kung fu khong hay lam nhi;29/05/2023
C014;I019-2031;2;Not good Not good Not godNot so Good;27/05/2023
C006;I021-2031;1;Phim buon ngu vai lon. The deo xem cai nay nua;23/05/2023
C013;I016-1424;4;Not that bad;26/05/2023
C014;I009-2143;5;Nice film, highly recommended.;27/05/2023
C001;I009-2143;5;Roi kinh di du chua, lam phim nhu tre con vay ba;27/05/2023
C021;I009-2143;4;Ok ok nice horror bro;30/05/2023
C014;I023-2023;3;Red fking red fking sheettt;27/05/2023
C014;I018-2012;1;I dont like horror game;27/05/2023
C001;I022-2012;1;Drama qua ba, nuot sao noi phim nay;26/05/2023
C014;I022-2012;5;Tui thay cum okela ma. Bis Bis;31/05/2023
C014;I014-1502;4;Ok Ok nice drama Record;27/05/2023
C019;I014-1502;4;phim nhu ... vay ba;29/05/2023
C001;I008-2023;5;This horror record is great;26/05/2023
C017;I008-2023;4;So interesting so ok;26/05/2023
C001;I025-1923;1;Roi Kinh di du chua ?;26/05/2023
C001;I025-1923;2;Kinh di roi do 123 oi;30/05/2023
C001;I019-2124;4;Not so good game. But I like the spirit inside of it;23/05/2023
C001;I017-1943;5;This is good;23/05/2023
C014;I017-1943;4;This is good, very good;23/05/2023
